symbol,price_min,price_max,price_avg,price_variance,trade_count,total_volume,price_first,price_last,price_stddev,window_start,window_end,window_start_str,window_end_str
ETHUSDT,2323.59,2323.62,2323.602459016393,7.551912568442484E-5,61,1.7516999999999987,2323.59,2323.61,0.008690174088269166,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,0.09495,0.09497,0.09495328124999991,2.8745039682614312E-11,64,130799.0,0.09497,0.09495,5.361440075447483E-6,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
AVAXUSDT,9.4,9.4,9.400000000000002,0.0,29,2024.8699999999994,9.4,9.4,0.0,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,0.09498,0.09498,0.09498000000000002,0.0,19,4351.0,0.09498,0.09498,0.0,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
AVAXUSDT,9.4,9.4,9.4,,1,52.94,9.4,9.4,,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,632.8,632.84,632.8128985507253,2.2971014492895907E-4,69,3.460999999999996,632.84,632.81,0.015156191636719267,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,0.09494,0.09494,0.09494000000000001,0.0,7,4210.0,0.09494,0.09494,0.0,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,0.09492,0.09494,0.09493259259259267,5.352900069871035E-11,54,83368.0,0.09494,0.09493,7.316351597532089E-6,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,632.87,633.03,632.9521719457017,0.003147988482112437,221,7.820000000000016,633.03,632.87,0.05610693791424049,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,633.19,633.2,633.1918750000002,1.625000000008135E-5,16,2.0039999999999996,633.19,633.19,0.004031128874159365,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,633.19,633.2,633.1916666666667,1.5151515151483833E-5,12,1.014,633.19,633.2,0.003892494720803592,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,633.03,633.19,633.1212137203139,0.0021408510281827925,379,10.296000000000058,633.19,633.03,0.04626933139978135,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,632.84,632.86,632.84693877551,7.585034013603533E-5,49,1.1800000000000002,632.86,632.85,0.008709210075318849,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2323.59,2323.59,2323.59,,1,0.0591,2323.59,2323.59,,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,632.87,633.03,632.9521719457017,0.003147988482112437,221,7.820000000000016,633.03,632.87,0.05610693791424049,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ETHUSDT,2322.14,2322.78,2322.421476683939,0.04219028127321688,386,3.533900000000009,2322.78,2322.14,0.20540272946876068,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
AVAXUSDT,9.4,9.4,9.400000000000002,0.0,29,2024.8699999999994,9.4,9.4,0.0,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BNBUSDT,632.44,632.53,632.4855752212396,7.356036662520435E-4,113,6.098999999999998,632.53,632.45,0.02712201442098362,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
AVAXUSDT,9.38,9.39,9.38977777777777,2.22222222222214E-6,45,3847.480000000002,9.39,9.39,0.0014907119849998322,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ETHUSDT,2320.22,2320.36,2320.2969680851115,0.002387015018716366,188,2.554399999999996,2320.22,2320.35,0.0488570877019534,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BTCUSDT,76223.9,76231.28,76226.42062222226,5.215572825214383,225,0.4544099999999999,76223.9,76231.27,2.283762865363736,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,0.09487,0.09488,0.094875,3.333333333338459E-11,4,1259.0,0.09488,0.09487,5.773502691900696E-6,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
XRPUSDT,1.4281,1.4281,1.4281000000000001,0.0,8,47.5,1.4281,1.4281,0.0,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,0.09487,0.09493,0.0948990243902439,2.728108756493308E-10,123,148486.0,0.09493,0.09488,1.651698748710947E-5,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
