symbol,window_start,window_end,price_min,price_max,price_avg,price_variance,trade_count,total_volume,pct_return,volatility,volume_intensity,price_speed,prediction,distance_to_centroid,label,label_binary,window_start_str,window_end_str
ADAUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.2493,0.2493,0.2493,0.0,10,31710.499999999993,0.0,0.0,3171.0499999999993,0.0,2,1.450368971553399,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,86.26,86.29,86.27709677419367,6.028556319393937E-5,62,141.41099999999997,-3.476648510835686E-4,8.999349916940216E-5,2.280822580645161,3.477168463203833E-4,0,2.0898145219233117,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ADAUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.2492,0.2492,0.24920000000000006,0.0,12,40045.100000000006,0.0,0.0,3337.091666666667,0.0,2,1.6211338647564606,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,86.28,86.31,86.29056338028164,6.539235412482826E-5,71,51.413999999999994,-3.475842891901418E-4,9.37130735079987E-5,0.7241408450704224,3.47662581223296E-4,0,2.108435555050448,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BTCUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,76310.0,76335.37,76321.75407407402,55.50705329677712,729,1.019810000000005,-3.322182102477604E-4,9.761706442031734E-5,0.0013989163237311455,3.3240850276282315E-4,0,2.0373378876184094,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2322.79,2323.42,2323.113724489789,0.03370476277407178,392,6.923300000000014,-2.711520086769112E-4,7.902694016008813E-5,0.01766147959183677,2.7118775691382566E-4,0,1.569137874255832,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,1.4295,1.4297,1.4295793103448282,6.231094978800739E-9,58,4492.9,-1.3988948730501362E-4,5.5217142922947826E-5,77.46379310344827,1.3990129722270256E-4,0,0.7089625655594971,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.09498,0.09498,0.09498000000000002,0.0,19,4351.0,0.0,0.0,229.0,0.0,0,0.9197812926342562,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
AVAXUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,9.4,9.4,9.4,,1,52.94,0.0,0.0,52.94,0.0,0,0.8872450646673747,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,632.8,632.84,632.8128985507253,2.2971014492895907E-4,69,3.460999999999996,-4.7405347323314584E-5,2.395050997132033E-5,0.05015942028985501,6.320983673323619E-5,0,0.5119292153092296,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.09495,0.09497,0.09495328124999991,2.8745039682614312E-11,64,130799.0,-2.1059281878479778E-4,5.64639789680516E-5,2043.734375,2.1062989858491347E-4,2,1.3317906690682384,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
AVAXUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,9.4,9.4,9.400000000000002,0.0,29,2024.8699999999994,0.0,0.0,69.82310344827584,0.0,0,0.8857616522686534,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,632.87,633.03,632.9521719457017,0.003147988482112437,221,7.820000000000016,-2.527526341563088E-4,8.86432504714648E-5,0.03538461538461546,2.5278371272212635E-4,0,1.5176376160847767,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,633.19,633.2,633.1918750000002,1.625000000008135E-5,16,2.0039999999999996,0.0,6.366362288144274E-6,0.12524999999999997,1.5793001134120524E-5,0,0.7781791955009348,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,633.03,633.19,633.1212137203139,0.0021408510281827925,379,10.296000000000058,-2.5268876640515775E-4,7.308131586350727E-5,0.02716622691292891,2.5271622010562274E-4,0,1.4296676875443723,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,632.84,632.86,632.84693877551,7.585034013603533E-5,49,1.1800000000000002,-1.580128306417044E-5,1.3761953391400174E-5,0.02408163265306123,3.160321836853574E-5,0,0.6592751727314867,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,633.19,633.2,633.1916666666667,1.5151515151483833E-5,12,1.014,1.5793047900299917E-5,6.1474193766557125E-6,0.0845,1.5793006330349005E-5,0,0.7785393818138999,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.09494,0.09494,0.09494000000000001,0.0,7,4210.0,0.0,0.0,601.4285714285714,0.0,0,1.264450300898563,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.09492,0.09494,0.09493259259259267,5.352900069871035E-11,54,83368.0,-1.0532968190431982E-4,7.706891171644842E-5,1543.851851851852,2.106758011531731E-4,2,2.1405925579051748,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2323.59,2323.59,2323.59,,1,0.0591,0.0,0.0,0.0591,0.0,0,0.8982159652992656,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BNBUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,632.87,633.03,632.9521719457017,0.003147988482112437,221,7.820000000000016,-2.527526341563088E-4,8.86432504714648E-5,0.03538461538461546,2.5278371272212635E-4,0,1.5176376160847767,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
ETHUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2322.14,2322.78,2322.421476683939,0.04219028127321688,386,3.533900000000009,-2.755319057337877E-4,8.844334739878664E-5,0.009155181347150283,2.755744409124863E-4,0,1.6472002596822197,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
